CUSEC,CUMUN,CSEC,CDIS,CMUN,CPRO,CCA,CUDIS,CLAU2,NPRO,NCA,CNUT0,CNUT1,CNUT2,CNUT3,NMUN,year,net_income_avg,net_income_avg_household,gini,p80_p20
0801502008,08015,008,02,015,08,09,0801502,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2018,16379,41067,26.5,2.1
0801502008,08015,008,02,015,08,09,0801502,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2017,16117,40515,27.9,2.3
0801502008,08015,008,02,015,08,09,0801502,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2016,15466,38436,27.9,2.3
0801502008,08015,008,02,015,08,09,0801502,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2015,15658,38572,30.1,2.4
0801504006,08015,006,04,015,08,09,0801504,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2018,12160,34110,27.4,2.4
0801504006,08015,006,04,015,08,09,0801504,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2017,11776,33029,28.1,2.5
0801504006,08015,006,04,015,08,09,0801504,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2016,11374,31855,28.6,2.6
0801504006,08015,006,04,015,08,09,0801504,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2015,11001,30444,28.1,2.6
0801504008,08015,008,04,015,08,09,0801504,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2018,13333,33236,24.4,2.1
0801504008,08015,008,04,015,08,09,0801504,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2017,12417,31272,24.2,2
0801504008,08015,008,04,015,08,09,0801504,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2016,11928,29623,24.5,2.2
0801504008,08015,008,04,015,08,09,0801504,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2015,11538,29354,26.7,2.5
0800501004,08005,004,01,005,08,09,0800501,08005,Barcelona,Cataluña,ES,5,1,1,"Ametlla del Vallès, L'",2018,19703,61776,32.4,2.4
